id,value
LEED,
LEED.LocationandTransportation,
LEED.LocationandTransportation.AltTran-Bicycle,
LEED.LocationandTransportation.AltTran-PublicTran,3938
LEED.LocationandTransportation.Altran-LowEmit,3812
LEED.LocationandTransportation.Altran-Parking,6714
LEED.LocationandTransportation.DevelopmentDensity,743
LEED.LocationandTransportation.On-Site,
LEED.SustainableSites,3534
LEED.SustainableSites.Brownfield,5731
LEED.SustainableSites.Heatisland-non-Roof,7840
LEED.SustainableSites.Heatisland-Roof,5914
LEED.SustainableSites.SiteDev-MaxOpen,3416
LEED.SustainableSites.LightPollution,
LEED.SustainableSites.SiteDev-Protect,7074
LEED.SustainableSites.SiteSelection,
LEED.SustainableSites.SustainableSites,17010
LEED.EnergyandAtmosphere,5842
LEED.EnergyandAtmosphere.EnhancedComm,
LEED.EnergyandAtmosphere.EnhancedRefrig,1983
LEED.EnergyandAtmosphere.GreenPower,2047
LEED.EnergyandAtmosphere.OutdoorAIr,1375
LEED.Materials&Resources,8746
LEED.Materials&Resources.BuildingReuse-Maintian50%,2202
LEED.Materials&Resources.BuildingReuse-MaintainExistingWalls,1382
LEED.Materials&Resources.CertifiedWood,1629
LEED.Materials&Resources.ConstructionIAQ-BeforeOcc,1675
LEED.Materials&Resources.ConstructionIAQ-During,2042
LEED.Materials&Resources.ConstructionWaste,1041
LEED.Materials&Resources.LowEmit_Adhesives,5176
LEED.Materials&Resources.CompositeWood,449
LEED.Materials&Resources.Flooring,5593
LEED.Materials&Resources.Paints,5534
LEED.Materials&Resources.MaterialReuse,9201
LEED.Materials&Resources.MaterialsReuse,19975
LEED.Materials&Resources.MaterialsandResources,1116
LEED.Materials&Resources.RecycledContent,6006
LEED.IndoorQuality,
LEED.IndoorQuality.Controlability-Lighting,
LEED.IndoorQuality.Controlability-Thermal,721
LEED.IndoorQuality.Daylight,4294
LEED.IndoorQuality.IncreasedVent,9800
LEED.IndoorQuality.IndoorChem,1314
LEED.IndoorQuality.IndoorEnvironment,2220
LEED.IndoorQuality.Measurement&Verification,1759
LEED.IndoorQuality.ThermalComfortDesign,2165
LEED.IndoorQuality.ThermalComfortVerification,586
LEED.IndoorQuality.Views,3331
LEED.Innovation,772
LEED.Innovation.InnovationandDesign,3322
LEED.Innovation.TenantDesign,
LEED.WaterEfficiency,8833
LEED.WaterEfficiency.InnovativeWasteWaterTech,1732
LEED.WaterEfficiency.Stormwater-Quantity,3623
LEED.WaterEfficiency.Stormwater_Quality,10066
LEED.WaterEfficiency.WaterEfficiency,
LEED.WaterEfficiency.WaterEfficientLandscaping,4116
LEED.WaterEfficiency.WaterUseReduction,
LEED.RegionalPriority,1082
LEED.RegionalPriority.Optimize,1336
LEED.RegionalPriority.RapidlyRenewable,319
LEED.RegionalPriority.RegionalMat,10498
LEED.RegionalPriority.RegionalPriorityCredits,2822