date,AltTran-Bicycle,AltTran-PublicTran,Altran-LowEmit,Altran-Parking,Brownfield,Building Reuse - Maintain 50%,Building Reuse - Maintain Existing Walls,CertifiedWood,ConstructionIAQ-Before Occ,ConstructionIAQ-During,ConstructionWaste,Controlability-Lighting,Controlability-Thermal,Daylight,DevelopmentDensity,EnergyandAtmosphere,EnhancedComm,EnhancedRefrig,GreenPower,HeatIdland-non-Roof,HeatIsland-Roof,IncreasedVent,IndoorChem,IndoorEnvironment,InnovationandDesign,InnovativeWasteWaterTech,LightPollution,LowEmit_Adhesives,LowEmit_CompositeWood,LowEmit_Flooring,LowEmit_Paints,Material Reuse,MaterialsReuse,MaterialsandResources,Measurement & Verficaiton,On-Site,Optimize,OutdoorAir,RapIdly Renewable,RecycledContent,RegionalMat,RegionalPriorityCredits,SiteDev-MaxOpen,SiteDev-Protect,SiteSelection,Stormwater-Quantity,Stormwater_Quality,Sustainable Sites ,Tenant Design,ThermalComfort Design,ThermalComfortVerification,Views,WaterEfficiency,WaterEfficientLandscaping,WaterUseReduction
2004,,,,0,,1,3,0,,,,,,,0,,0,,,0,,,,4,1,,1,,,,,,,,,,,,,0,0,0,,,0,,,3,0,,,,6,4,
2005,0,0,3,0,0,1,3,0,1,0,0,0,0,0,0,14,2,2,0,1,0,1,1,4,0,2,1,0,0,0,0,2,,6,0,7,0,1,0,0,0,1,1,1,0,0,0,7,0,0,0,0,2,0,0
2009,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26,0,0,2,1,0,1,1,6,2,2,1,0,0,0,0,0,,3,0,7,14,1,0,1,1,2,0,0,0,1,0,3,0,1,1,0,4,0,2
2010,0,6,0,,,,,1,1,,1,1,,,,16,2,2,,1,,,,13,1,0,0,1,,1,,2,,6,,0,,1,0,1,,4,,0,1,1,0,,0,1,,,,,2
2011,2,12,6,4,2,4,10,3,2,2,4,2,2,3,10,87,3,4,4,1,2,3,2,33,9,6,2,2,2,2,2,6,,38,4,30,59,3,1,3,6,4,3,3,2,2,1,52,0,2,2,3,19,6,7
2012,4,18,9,4,6,6,20,1,1,1,8,1,4,5,15,141,4,4,12,3,1,5,3,45,17,10,4,2,3,3,3,8,,52,3,32,103,2,2,2,3,18,4,4,2,3,3,61,0,2,3,3,34,18,13
2013,4,12,10,6,5,6,24,4,4,3,8,2,3,5,20,215,13,8,8,3,3,3,3,24,22,6,5,3,1,1,2,14,,73,8,52,61,5,2,9,7,7,3,4,3,3,3,87,0,0,3,3,33,6,14
2014,14,66,33,24,16,24,57,8,7,12,24,13,12,8,65,484,16,22,18,9,11,14,10,162,80,35,13,11,13,10,13,18,14,172,25,107,296,12,15,20,15,54,12,19,12,9,14,324,0,9,9,11,116,48,42
2015,13,72,39,23,11,11,47,8,13,12,21,9,10,7,55,424,27,18,20,13,11,12,11,167,57,24,13,12,10,12,12,15,10,155,22,117,240,15,12,16,19,48,13,13,12,11,13,322,1,9,10,11,116,46,49
2016,15,66,37,26,13,24,54,13,11,14,25,12,14,12,65,628,24,24,26,19,14,12,14,213,69,36,16,12,11,14,13,32,11,257,21,144,321,17,19,27,25,46,21,20,11,12,14,346,0,12,12,10,147,58,50
2017,4,24,24,14,5,7,32,7,5,3,5,1,4,6,10,238,6,13,8,7,3,8,8,81,15,18,4,4,5,4,3,11,3,60,14,67,181,5,5,6,5,12,6,9,5,8,4,129,0,5,8,7,64,28,22